id	document	label
1	아동발달연구에 영향을 준 철학자 중 로크와 루소에 대해 이들의 철학 및	0
2	요즘 인하광장이 씹노잼인 EU	0
3	야 근로장학 소득으로 우선자르고 동점자 학점보는거??	0
4	크으... 술맛 조타!!	0
5	나크리 상륙 기념 술까는 중이다	0
6	야 기분조타!	0
7	더워..	0
8	친구썰ㅋㅋㅋ.ssul	0
9	롤에서 승패재미 안보고 걍재밌는방법	0
10	겟앰프드 하고싶다	0
11	군씹 봤던 썰	0
12	껌씹는중.	0
13	씨바 진심이다 술 안먹일테니 좀 와서 이거 처리 해라	0
14	핵심 교양중에서 어느것이 그나마 꿀인가요?	0
15	아 덕성여대 개병신인가	0
16	아 공부하러 왓는데..	0
17	4 8 39	0
18	비좀 미친듯이 쏟아져라	0
19	형님들 지금 시간에 일반인 열람실 못가나요...	0
20	후우.... 외롭다.	0
21	에라이 쫄보들	0
22	근데 로또말이야	0
23	신혼여행 중국으로 간 부부 썰	0
24	배고프다	0
25	인하대 해양학과 같은데는 정시로 존나 들어가기 쉽지 않냐?	0
26	노네 치실 쓰노?	0
27	갤디짐?	0
28	8월 7~8일 어디 돌아다닐 생각하지마라	0
29	아 외로워	0
30	중문과인데 복전좀 제발골라줘! 소비자학과어때?	0
31	인하대는 대 강당이 하이테크관뿐임?	0
32	야 시발 나 좆됨? 도와줘라 좀 아이디 날라간거냐 이거 왜이래?	0
33	재수강하면 성적증명서에 예전에 들었던거 사라짐?	0
34	망갤이니	0
35	후후 중국따위 가다니	0
36	자꾸 읽는거 누구냐?	0
37	신 트리스트럼으로 여행간다	0
38	태양신의 위대함을 보았겠지	0
39	발기찬 아침이다 얘두라 어여 인나라	0
40	류현진선발등판 경기 중계하는데 안보니?	0
41	아침  너무 피곤하다 ㅠ	0
42	류현진투수 예전에 바로옆에서 봤었는데	0
43	강남스타일아	0
44	썸원콜더 닥터 날 붙잡고 말해줘~	0
45	오줌누는게 너무 아픔	0
46	냉장고에 먹을게 없네	0
47	컴활이거 너무 어렵다	0
48	내가 젤잼나게했던 게임은	0
49	멍멍아	0
50	지금 정석지하매점에서 백인녀 토스강의중ㄷㄷ	0
51	야들아 전기압력밥솥 5만이면싼거야?	0
52	컴활1급 14번떨어졌다 ㅍㅌㅊ??	0
53	정통vs컴공 둘중하나가라면어디가냐	0
54	엥? 페북?	0
55	친구랑 1학기간 자취같이해본결과	0
56	집에 샴푸가 업다	0
57	인후에 책방 어디없을까	0
58	1학년들아 군대빨리와라	0
59	2학기때 일반수학1 재수강 가능할까?	0
60	보지	0
61	할게업다	0
62	저 이과 내신 1.98 인데 어느 학과를 지원하는게 좋을까요?	0
63	국근장 발표 언제하노?	0
64	태풍 소멸됐네	0
65	저녁메뉴 추천받는다	0
66	작년 전자공 학생부교과전형 합격자 내신평균이 2점대 초반이라고 하던데	0
67	저녁 메뉴 추천 안받는다	0
68	할게없다	0
69	저도 국근장좀 시켜주십쇼 ㅜㅜㅠ	0
70	근로장학 소득>>학점임??ㅅㅂ	0
71	구로역 시발ㅡㅡ	0
72	인경호에 신 세력 등장한거 알고 갤질하냐	0
73	에너지자원공학과 여기 좋은데임??	0
74	인하대 해양과학과 평3등급이면 걍뚫리는거 맞는데	0
75	국가근로장학금 마지막글 대신 한번만 봐아주라	0
76	국가근로 발표언젱나냐??	0
77	얘가 누구냐면	0
78	재밌는게임 없냐	0
79	언고닉 클리너돌렸네	0
80	클리너 왜돌리냐	0
81	대영 교수 평좀 해줘	0
82	치킨집 추천좀	0
83	트랙1들어본 사람? 거기 프리토커들 많지? 학점따기 힘들까? 원어민수준?	0
84	오늘 미파닭 안열었나;	0
85	인갤 망했네;;	0
86	인하대 위키 많이바꼈네	0
87	크 음주인갤한다	0
88	300 #2 Rise of An Empire 보고 왔다	0
89	지금 수강신청 시간표 과목들 다 안나온거야? 왜케 적어?	0
90	왜 19학점으로 바뀐거냐?	0
91	후후	0
92	꺄아아아악	0
93	오랜만에 시 써봄	0
94	시	0
95	시 써본다	0
