id	document	label
814653	인하대  특성화랑 구조조정은 하는거맞죠?	20160503
814654	그들은 웃고있겠지..	20160503
814655	부산 지역: 동의대, 인제대, 동명대, 신라대	20160503
814656	총동창회장이 프라임 못따내면 멍청이라그럈는데	20160503
814657	총학 탄핵해야된다 이거	20160503
814658	후문 공사 이거 사실이냐?	20160503
814659	애초에 프라임떨어져도 정원감축 해야되는데 반대한병신들 자살좀	20160503
814660	다행이다 ㅋㅋ 프라임 안되면 사범대 추가감축 안한다고했음	20160503
814661	시발	20160503
814662	학생회 개좋겄네 ㅋㅋㅋ	20160503
814663	이제 살길은...	20160503
814664	중앙대도 떨어졌네	20160503
814665	어제 총장님 표정이 역시.. 수도권 대형 건국대 숙명여대 한양대 에리카	20160503
814666	경희 중앙 인하 사이좋게 탈락함	20160503
814667	야 기분좋다!!!!!!	20160503
814668	그래도 떨어졌으니 글로벌한국학과 이딴학과 안봐도 되는거냐?	20160503
814669	프라임 총학때문에 떨어진거 맞다	20160503
814670	숙청할건 숙청하자	20160503
814671	프라임 떨어지게하고 축제 라인업 파탄낸 총학 청문회가 답이다	20160503
814672	프라임 건대하고 에리카 의외다	20160503
814673	이게 다 총학때문이다	20160503
814674	총학은 프라임 떨어지면 자기들이 더 미움받을거란 생각은 안해봤나	20160503
814675	가천 중앙 경희 다 떨어질만했냐?	20160503
814676	건대는 인원조정이 다른학교 2배나 되구만 될만하네	20160503
814677	프라임 탈락하닌까 귀신같이 천막해체하네	20160503
814678	건대 의외네	20160503
814679	한양대 에리카 대학순위 8위 안에 든다.	20160503
814680	기사에 학내반발이라는 단어가들어간거로보아	20160503
814681	프라임 사업 전체 결과	20160503
814682	니들 반대시위 하던애들 다 학교에서 고용한 애들인거 몰랐노	20160503
814683	이 분노가 총학탄핵으로 이어질랑가?	20160503
814684	이제 돈 떨어진 이상 방법은 하나다	20160503
814685	반대이유를모르겠다..	20160503
814687	이렇게 된 거 빨리 구조조정 시작하자	20160503
814688	총학이 사업계획서 복원해서 다른데다 줬나보다	20160503
814689	구성원과의 합의 100점만점에 6점밖에 안됨	20160503
814690	총학 총장 캐삭빵 누가 이긴거임?	20160503
814691	야 조양호!!	20160503
